DateTime,Open,High,Low,Close,Volume,MACD_2_5_9_line,MACD_2_5_9_signal,MACD_2_5_9_histogram,MACD_4_10_9_line,MACD_4_10_9_signal,MACD_4_10_9_histogram,MACD_6_15_9_line,MACD_6_15_9_signal,MACD_6_15_9_histogram,MACD_9_20_9_line,MACD_9_20_9_signal,MACD_9_20_9_histogram,MACD_11_25_9_line,MACD_11_25_9_signal,MACD_11_25_9_histogram,MACD_13_30_9_line,MACD_13_30_9_signal,MACD_13_30_9_histogram,MACD_16_35_9_line,MACD_16_35_9_signal,MACD_16_35_9_histogram,MACD_18_40_9_line,MACD_18_40_9_signal,MACD_18_40_9_histogram,MACD_20_45_9_line,MACD_20_45_9_signal,MACD_20_45_9_histogram,MACD_23_50_9_line,MACD_23_50_9_signal,MACD_23_50_9_histogram,MACD_25_55_9_line,MACD_25_55_9_signal,MACD_25_55_9_histogram,MACD_27_60_9_line,MACD_27_60_9_signal,MACD_27_60_9_histogram,MACD_29_65_9_line,MACD_29_65_9_signal,MACD_29_65_9_histogram,MACD_32_70_9_line,MACD_32_70_9_signal,MACD_32_70_9_histogram,MACD_34_75_9_line,MACD_34_75_9_signal,MACD_34_75_9_histogram,MACD_36_80_9_line,MACD_36_80_9_signal,MACD_36_80_9_histogram,MACD_39_85_9_line,MACD_39_85_9_signal,MACD_39_85_9_histogram,MACD_41_90_9_line,MACD_41_90_9_signal,MACD_41_90_9_histogram,MACD_43_95_9_line,MACD_43_95_9_signal,MACD_43_95_9_histogram,MACD_46_100_9_line,MACD_46_100_9_signal,MACD_46_100_9_histogram,MACD_48_105_9_line,MACD_48_105_9_signal,MACD_48_105_9_histogram,MACD_50_110_9_line,MACD_50_110_9_signal,MACD_50_110_9_histogram,MACD_52_115_9_line,MACD_52_115_9_signal,MACD_52_115_9_histogram,MACD_55_120_9_line,MACD_55_120_9_signal,MACD_55_120_9_histogram,MACD_57_125_9_line,MACD_57_125_9_signal,MACD_57_125_9_histogram,MACD_59_130_9_line,MACD_59_130_9_signal,MACD_59_130_9_histogram,MACD_62_135_9_line,MACD_62_135_9_signal,MACD_62_135_9_histogram,MACD_64_140_9_line,MACD_64_140_9_signal,MACD_64_140_9_histogram,MACD_66_145_9_line,MACD_66_145_9_signal,MACD_66_145_9_histogram,MACD_69_150_9_line,MACD_69_150_9_signal,MACD_69_150_9_histogram,CCI_5,CCI_15,CCI_25,CCI_35,CCI_45,CCI_55,CCI_65,CCI_75,CCI_85,CCI_95,CCI_105,CCI_115,CCI_125,CCI_135,CCI_145,CCI_155,CCI_165,CCI_175,CCI_185,CCI_195,CCI_205,CCI_215,CCI_225,CCI_235,CCI_245,CCI_255,CCI_265,CCI_275,CCI_285,CCI_295,ATR_2,ATR_4,ATR_6,ATR_8,ATR_10,ATR_12,ATR_14,ATR_16,ATR_18,ATR_20,SMA_2,SMA_4,SMA_6,SMA_8,SMA_10,SMA_12,SMA_14,SMA_16,SMA_18,SMA_20,SMA_22,SMA_24,SMA_26,SMA_28,SMA_30,SMA_32,SMA_34,SMA_36,SMA_38,SMA_40,EMA200
2005-08-11 07:20:00,123.5,123.53,123.5,123.53,89200,0.0555,0.01,0.0455,0.0347,0.0135,0.0212,0.0332,0.0221,0.011,0.0317,0.0251,0.0066,0.0316,0.023,0.0085,0.0257,0.0139,0.0118,0.012,-0.0029,0.0148,-0.0021,-0.0199,0.0178,-0.0181,-0.0381,0.0201,-0.036,-0.0568,0.0208,-0.0516,-0.0731,0.0215,-0.0661,-0.0878,0.0217,-0.0792,-0.1006,0.0214,-0.0898,-0.1097,0.0199,-0.099,-0.118,0.0191,-0.1064,-0.1244,0.018,-0.1103,-0.1263,0.016,-0.1143,-0.129,0.0148,-0.1168,-0.1303,0.0135,-0.1155,-0.1271,0.0116,-0.1155,-0.1259,0.0103,-0.1145,-0.1236,0.0091,-0.1125,-0.1205,0.008,-0.107,-0.1134,0.0064,-0.1036,-0.109,0.0053,-0.0997,-0.104,0.0043,-0.0926,-0.0956,0.0031,-0.0877,-0.09,0.0022,-0.0826,-0.084,0.0014,-0.0748,-0.0752,0.0004,166.6667,370.1657,386.548,174.5635,134.9327,119.8374,46.7643,12.9044,-8.3131,-20.2238,-27.3521,-31.6969,-35.5975,-39.7964,-36.5025,-30.6866,-27.4572,-22.7883,-18.3645,-15.6356,-11.7429,-9.1524,-6.6859,-3.8802,-0.5277,2.9444,7.055,12.6595,18.0108,22.8876,0.0987,0.0569,0.0465,0.0462,0.0501,0.0556,0.0613,0.0667,0.0717,0.0761,123.435,123.39,123.3867,123.3888,123.38,123.3767,123.3736,123.3712,123.3683,123.3635,123.36,123.3467,123.3473,123.3414,123.334,123.3194,123.3024,123.2881,123.2695,123.2517,123.53
2005-08-11 07:30:00,123.52,123.52,123.52,123.52,300,0.0545,0.0189,0.0356,0.0497,0.0208,0.029,0.0475,0.0272,0.0203,0.0422,0.0286,0.0137,0.0414,0.0267,0.0147,0.0352,0.0181,0.0171,0.0207,0.0019,0.0189,0.0068,-0.0146,0.0214,-0.009,-0.0323,0.0233,-0.0273,-0.0509,0.0236,-0.0428,-0.0671,0.0242,-0.0574,-0.0818,0.0243,-0.0707,-0.0946,0.024,-0.0818,-0.1041,0.0223,-0.0913,-0.1127,0.0214,-0.0991,-0.1193,0.0203,-0.1035,-0.1217,0.0182,-0.1079,-0.1248,0.017,-0.1107,-0.1264,0.0157,-0.1101,-0.1237,0.0137,-0.1104,-0.1228,0.0124,-0.1097,-0.1208,0.0112,-0.108,-0.118,0.01,-0.103,-0.1114,0.0083,-0.0999,-0.1072,0.0072,-0.0962,-0.1024,0.0062,-0.0895,-0.0944,0.0049,-0.085,-0.089,0.004,-0.0801,-0.0832,0.0032,-0.0726,-0.0747,0.0021,83.3333,237.3853,304.4345,171.97,132.5066,122.8547,51.4803,15.9819,-6.8116,-19.2949,-26.7476,-31.1399,-35.0456,-39.1683,-36.7929,-31.0074,-27.677,-23.5339,-18.5527,-15.9956,-12.0587,-9.3835,-6.9856,-4.1445,-0.8429,2.6106,6.6074,12.0786,17.5067,22.3345,0.0544,0.0452,0.0404,0.0417,0.0461,0.0518,0.0576,0.0632,0.0683,0.0728,123.525,123.4325,123.41,123.405,123.399,123.39,123.3857,123.3819,123.3789,123.373,123.3691,123.3546,123.3535,123.3464,123.3443,123.3331,123.3182,123.3006,123.2855,123.2673,123.5299
2005-08-11 07:40:00,123.48,123.48,123.48,123.48,100,0.0289,0.0209,0.008,0.0448,0.0256,0.0192,0.0484,0.0315,0.0169,0.0448,0.0318,0.013,0.0448,0.0303,0.0144,0.0394,0.0224,0.017,0.0254,0.0066,0.0188,0.0121,-0.0092,0.0214,-0.0031,-0.0265,0.0233,-0.0213,-0.0449,0.0237,-0.0366,-0.061,0.0244,-0.051,-0.0756,0.0246,-0.0642,-0.0886,0.0243,-0.0757,-0.0984,0.0227,-0.0853,-0.1072,0.0219,-0.0933,-0.1141,0.0208,-0.0982,-0.117,0.0188,-0.1028,-0.1204,0.0176,-0.106,-0.1223,0.0164,-0.1057,-0.1201,0.0144,-0.1063,-0.1195,0.0132,-0.1059,-0.1178,0.0119,-0.1045,-0.1153,0.0108,-0.1,-0.1091,0.0091,-0.0971,-0.1052,0.008,-0.0937,-0.1007,0.007,-0.0873,-0.093,0.0057,-0.083,-0.0878,0.0048,-0.0783,-0.0822,0.004,-0.0711,-0.074,0.0029,33.3333,126.1741,188.886,147.846,110.3465,104.4834,40.8875,8.5665,-12.9684,-25.0036,-32.487,-37.2041,-41.4669,-45.824,-44.403,-38.6651,-35.2122,-31.5118,-25.9999,-23.6607,-19.7887,-17.0879,-14.8343,-12.1228,-8.9024,-5.5059,-1.6202,3.9063,9.5225,14.4721,0.0472,0.0439,0.0404,0.0415,0.0455,0.0508,0.0564,0.0617,0.0667,0.0712,123.5,123.4675,123.4267,123.415,123.411,123.4,123.3943,123.3894,123.3856,123.3815,123.3759,123.3717,123.3585,123.3582,123.352,123.3444,123.33,123.3133,123.2992,123.281,123.5294
2005-08-11 07:45:00,123.5,123.5,123.47,123.49,3600,0.0201,0.0207,-0.0007,0.0413,0.0287,0.0126,0.0488,0.0349,0.0139,0.0469,0.0348,0.0121,0.0477,0.0338,0.0139,0.0431,0.0265,0.0166,0.0297,0.0112,0.0185,0.0172,-0.004,0.0211,0.0025,-0.0207,0.0231,-0.0155,-0.039,0.0236,-0.0305,-0.0549,0.0244,-0.0448,-0.0694,0.0246,-0.058,-0.0824,0.0245,-0.0697,-0.0927,0.023,-0.0794,-0.1016,0.0222,-0.0876,-0.1088,0.0213,-0.0929,-0.1122,0.0193,-0.0977,-0.1159,0.0181,-0.1011,-0.1181,0.0169,-0.1014,-0.1164,0.015,-0.1022,-0.116,0.0138,-0.102,-0.1147,0.0126,-0.101,-0.1124,0.0115,-0.0968,-0.1066,0.0098,-0.0942,-0.103,0.0088,-0.091,-0.0987,0.0078,-0.085,-0.0914,0.0064,-0.0808,-0.0864,0.0056,-0.0763,-0.0811,0.0047,-0.0694,-0.0731,0.0037,22.3368,106.7568,171.866,160.6433,110.0529,109.0075,48.4901,13.6701,-9.9149,-22.7426,-30.6202,-35.4831,-39.665,-43.906,-43.4001,-37.8353,-34.1978,-30.8879,-24.9933,-22.7468,-18.9628,-16.08,-13.756,-11.1585,-7.9337,-4.5576,-0.788,4.6172,10.2255,15.2283,0.0386,0.0404,0.0386,0.0401,0.044,0.049,0.0545,0.0598,0.0647,0.0691,123.485,123.505,123.45,123.4288,123.421,123.4133,123.4036,123.3981,123.3933,123.3895,123.3832,123.3788,123.3646,123.3629,123.3557,123.3531,123.3421,123.3275,123.3103,123.2955,123.529
2005-08-11 07:55:00,123.46,123.46,123.46,123.46,1500,0.0037,0.0173,-0.0137,0.03,0.029,0.001,0.0425,0.0364,0.0061,0.0444,0.0367,0.0076,0.0466,0.0364,0.0103,0.0434,0.0299,0.0135,0.0312,0.0152,0.016,0.0196,0.0008,0.0189,0.0057,-0.0154,0.0211,-0.0116,-0.0336,0.0219,-0.0262,-0.0491,0.0229,-0.0403,-0.0636,0.0234,-0.0532,-0.0766,0.0234,-0.0651,-0.0872,0.0221,-0.0748,-0.0963,0.0215,-0.083,-0.1037,0.0206,-0.0887,-0.1075,0.0188,-0.0937,-0.1114,0.0178,-0.0973,-0.1139,0.0166,-0.0979,-0.1127,0.0148,-0.0989,-0.1126,0.0137,-0.099,-0.1115,0.0125,-0.0981,-0.1096,0.0114,-0.0943,-0.1042,0.0099,-0.0919,-0.1007,0.0088,-0.0889,-0.0968,0.0079,-0.0832,-0.0897,0.0066,-0.0793,-0.085,0.0057,-0.075,-0.0798,0.0049,-0.0683,-0.0721,0.0038,-104.1667,62.0253,114.0472,133.1431,93.7033,94.3318,42.8052,8.6869,-13.9198,-26.2077,-34.0939,-39.2976,-43.6739,-48.0679,-48.6086,-43.2562,-39.2732,-36.3281,-30.0969,-28.0186,-24.3044,-21.2871,-19.0365,-16.5863,-13.4131,-10.0943,-6.4576,-1.0828,4.6443,9.7891,0.0343,0.0378,0.0372,0.0388,0.0426,0.0475,0.0527,0.0579,0.0627,0.0672,123.475,123.4875,123.47,123.4388,123.427,123.4217,123.4107,123.4044,123.3989,123.3945,123.39,123.3842,123.3796,123.3668,123.366,123.3597,123.3521,123.3381,123.3218,123.308,123.5283
2005-08-11 08:00:00,123.47,123.5,123.44,123.44,203200,-0.0075,0.0124,-0.0198,0.0179,0.0268,-0.0088,0.0338,0.0359,-0.0021,0.0396,0.0373,0.0023,0.0435,0.0378,0.0057,0.0416,0.0322,0.0094,0.0311,0.0184,0.0127,0.0205,0.0047,0.0158,0.0075,-0.0108,0.0183,-0.0091,-0.0287,0.0196,-0.0232,-0.0439,0.0208,-0.0369,-0.0583,0.0214,-0.0496,-0.0712,0.0216,-0.0614,-0.082,0.0206,-0.0711,-0.0912,0.0202,-0.0793,-0.0988,0.0195,-0.0852,-0.1031,0.0179,-0.0903,-0.1072,0.0169,-0.0941,-0.1099,0.0159,-0.0949,-0.1091,0.0142,-0.0962,-0.1093,0.0131,-0.0965,-0.1085,0.0121,-0.0958,-0.1068,0.011,-0.0923,-0.1018,0.0095,-0.0901,-0.0986,0.0085,-0.0873,-0.0949,0.0076,-0.0818,-0.0882,0.0064,-0.078,-0.0836,0.0055,-0.0739,-0.0787,0.0047,-0.0675,-0.0712,0.0037,-80.8081,52.6961,99.1893,130.7831,91.4791,94.7546,47.8659,10.792,-12.3225,-25.0691,-33.2342,-38.6638,-43.0109,-47.343,-48.8444,-43.7677,-39.3799,-36.6854,-30.4229,-28.3446,-24.6562,-21.4953,-19.2121,-16.8267,-13.6711,-10.4295,-6.8941,-1.6907,4.082,9.3154,0.0471,0.0433,0.041,0.0414,0.0443,0.0485,0.0532,0.058,0.0626,0.0668,123.45,123.4675,123.4867,123.45,123.433,123.4258,123.4186,123.4094,123.4039,123.399,123.395,123.3888,123.3842,123.3707,123.3687,123.3616,123.3588,123.3481,123.3339,123.3173,123.5274
2005-08-11 08:05:00,123.4,123.4,123.38,123.39,4100,-0.0249,0.0049,-0.0299,-0.0002,0.0214,-0.0216,0.0192,0.0326,-0.0134,0.0302,0.0359,-0.0057,0.036,0.0374,-0.0015,0.0359,0.033,0.0029,0.0277,0.0202,0.0074,0.0184,0.0074,0.0109,0.0064,-0.0074,0.0138,-0.009,-0.0247,0.0157,-0.0225,-0.0397,0.0172,-0.0356,-0.0537,0.0181,-0.048,-0.0666,0.0186,-0.0595,-0.0775,0.018,-0.0691,-0.0868,0.0177,-0.0773,-0.0945,0.0172,-0.0832,-0.0991,0.0159,-0.0883,-0.1034,0.0151,-0.0922,-0.1064,0.0142,-0.0933,-0.1059,0.0127,-0.0946,-0.1064,0.0117,-0.0951,-0.1058,0.0108,-0.0946,-0.1044,0.0098,-0.0912,-0.0997,0.0084,-0.0892,-0.0967,0.0075,-0.0866,-0.0932,0.0067,-0.0813,-0.0868,0.0055,-0.0777,-0.0824,0.0047,-0.0737,-0.0777,0.004,-0.0674,-0.0704,0.003,-166.6667,-30.5383,1.8396,38.1437,54.6092,56.5913,21.6676,-9.4982,-26.6231,-36.7573,-44.0048,-49.5683,-54.4234,-59.2392,-62.0374,-57.1462,-52.3509,-49.9589,-43.4627,-41.5993,-38.0718,-34.8504,-32.7511,-30.6237,-27.6722,-24.5449,-21.1788,-15.9574,-9.8128,-4.2641,0.0536,0.0475,0.0442,0.0438,0.0459,0.0495,0.0537,0.0582,0.0624,0.0665,123.415,123.445,123.4633,123.4562,123.434,123.425,123.4207,123.4112,123.4056,123.4005,123.3964,123.3921,123.3865,123.3821,123.37,123.3691,123.3629,123.3556,123.3421,123.3265,123.5261
2005-08-11 08:10:00,123.36,123.38,123.36,123.37,101200,-0.03,-0.0021,-0.0279,-0.0135,0.0144,-0.0279,0.0061,0.0273,-0.0212,0.0207,0.0328,-0.0122,0.0279,0.0355,-0.0076,0.0294,0.0323,-0.0028,0.0234,0.0209,0.0025,0.0153,0.009,0.0063,0.0044,-0.005,0.0094,-0.0098,-0.0218,0.0119,-0.0226,-0.0362,0.0136,-0.0352,-0.05,0.0148,-0.0472,-0.0627,0.0155,-0.0584,-0.0737,0.0153,-0.0678,-0.083,0.0152,-0.0759,-0.0908,0.0149,-0.0818,-0.0956,0.0138,-0.0869,-0.1001,0.0132,-0.0909,-0.1033,0.0124,-0.0921,-0.1032,0.0111,-0.0936,-0.1038,0.0103,-0.0941,-0.1035,0.0094,-0.0937,-0.1022,0.0085,-0.0906,-0.0979,0.0073,-0.0887,-0.0951,0.0064,-0.0862,-0.0918,0.0056,-0.0811,-0.0857,0.0045,-0.0776,-0.0814,0.0038,-0.0738,-0.0769,0.0031,-0.0677,-0.0699,0.0022,-98.9583,-55.1202,-29.4918,7.7055,41.9733,44.7312,17.8071,-14.4733,-29.9707,-39.5081,-46.4804,-52.0787,-57.0219,-61.9199,-65.8139,-61.1617,-56.0313,-53.6921,-47.5124,-45.4658,-42.1218,-38.7423,-36.7312,-34.6498,-31.9213,-28.8089,-25.4741,-20.5655,-14.2115,-8.5305,0.0418,0.0431,0.0418,0.042,0.0443,0.0478,0.052,0.0564,0.0606,0.0646,123.38,123.415,123.4383,123.46,123.436,123.4242,123.4193,123.4138,123.4061,123.4015,123.3973,123.3938,123.3881,123.3839,123.3713,123.3694,123.3626,123.36,123.3497,123.3362,123.5245
2005-08-11 08:15:00,123.38,123.38,123.38,123.38,3800,-0.0211,-0.0059,-0.0152,-0.0168,0.0082,-0.025,-0.0007,0.0217,-0.0224,0.0144,0.0292,-0.0147,0.0223,0.0329,-0.0106,0.0248,0.0308,-0.006,0.0203,0.0207,-0.0005,0.0132,0.0098,0.0033,0.0032,-0.0034,0.0066,-0.0101,-0.0194,0.0093,-0.0223,-0.0334,0.0112,-0.0344,-0.0469,0.0125,-0.046,-0.0593,0.0133,-0.0569,-0.0703,0.0134,-0.0662,-0.0796,0.0135,-0.0742,-0.0874,0.0133,-0.0801,-0.0925,0.0124,-0.0853,-0.0972,0.0119,-0.0893,-0.1005,0.0112,-0.0906,-0.1007,0.01,-0.0922,-0.1015,0.0093,-0.0929,-0.1014,0.0085,-0.0927,-0.1003,0.0076,-0.0897,-0.0962,0.0065,-0.088,-0.0937,0.0057,-0.0856,-0.0906,0.0049,-0.0807,-0.0847,0.0039,-0.0774,-0.0806,0.0032,-0.0737,-0.0763,0.0026,-0.0677,-0.0694,0.0017,-55.5556,-43.3647,-18.5917,18.275,46.6035,48.9928,28.0142,-9.1004,-26.1075,-36.6477,-43.9401,-49.6286,-54.4494,-59.1929,-64.0468,-59.514,-54.2014,-51.8101,-46.1837,-43.559,-40.5109,-37.0075,-34.9417,-32.8955,-30.2704,-27.1565,-23.7837,-19.3153,-12.8835,-7.1727,0.0259,0.0349,0.0365,0.038,0.0409,0.0447,0.049,0.0535,0.0578,0.0619,123.375,123.395,123.4217,123.4412,123.44,123.4242,123.4179,123.415,123.4072,123.4025,123.3982,123.3946,123.3908,123.3857,123.3817,123.3703,123.3694,123.3636,123.3566,123.3438,123.5231
2005-08-11 08:20:00,123.32,123.33,123.28,123.28,7000,-0.0478,-0.0142,-0.0335,-0.039,-0.0013,-0.0378,-0.021,0.0132,-0.0341,-0.0008,0.0232,-0.024,0.0087,0.028,-0.0193,0.0129,0.0272,-0.0143,0.0113,0.0189,-0.0075,0.0056,0.009,-0.0034,-0.003,-0.0033,0.0003,-0.0147,-0.0185,0.0038,-0.026,-0.032,0.006,-0.0374,-0.045,0.0076,-0.0485,-0.0572,0.0087,-0.0587,-0.068,0.0093,-0.0677,-0.0772,0.0096,-0.0754,-0.085,0.0096,-0.0811,-0.0902,0.0091,-0.0862,-0.095,0.0087,-0.0902,-0.0984,0.0082,-0.0915,-0.0988,0.0073,-0.0931,-0.0998,0.0067,-0.0938,-0.0999,0.006,-0.0937,-0.099,0.0053,-0.0908,-0.0951,0.0043,-0.0891,-0.0928,0.0037,-0.0869,-0.0898,0.003,-0.082,-0.0841,0.0021,-0.0788,-0.0803,0.0015,-0.0752,-0.076,0.0009,-0.0693,-0.0694,0.0001,-149.7585,-122.0153,-132.2721,-107.5353,-15.7543,4.1374,-12.1864,-36.8117,-46.0823,-51.9671,-57.2257,-62.4808,-67.7841,-73.1159,-78.425,-75.0844,-69.4545,-67.2168,-62.0654,-58.7979,-56.3579,-52.8176,-51.0128,-49.2537,-46.9795,-43.9614,-40.6619,-36.2717,-29.6033,-23.578,0.0629,0.0511,0.0471,0.0458,0.0468,0.0493,0.0527,0.0564,0.0602,0.0638,123.33,123.355,123.3867,123.4112,123.434,123.4183,123.4107,123.4081,123.4044,123.3985,123.395,123.3917,123.3888,123.3839,123.3803,123.3688,123.3671,123.3608,123.3584,123.3488,123.5207
